groupSize,tiredness,forgetfulness,intensity,propensity,repeats,runaway,totalPower,log10TotalPower,top5SharePct,top10Stability20Pct,topBottomRatio,log10TopBottomRatio,oligarchyScore
2,0,0,0.010000,0,1,0,52.039480,1.716333,10.315045,80,1.058630,0.024744,38.611976
2,0,0,0.010000,0.200000,1,0,52.042418,1.716357,10.409097,90,1.076945,0.032194,42.295421
2,0,0,0.010000,0.400000,1,0,52.036449,1.716308,10.275047,70,1.054234,0.022937,35.050292
2,0,0,0.010000,0.600000,1,0,52.037919,1.716320,10.335161,90,1.056348,0.023807,42.120847
2,0,0,0.010000,0.800000,1,0,52.043834,1.716369,10.416189,70,1.079856,0.033366,35.316578
2,0,0,0.010000,1,1,0,52.039732,1.716335,10.335162,90,1.064834,0.027282,42.162544
2,0,0,0.044000,0,1,0,59.606801,1.775296,11.523092,70,1.303335,0.115056,37.403763
2,0,0,0.044000,0.200000,1,0,59.662214,1.775699,11.898541,80,1.333445,0.124975,41.398241
2,0,0,0.044000,0.400000,1,0,59.604116,1.775276,11.206009,80,1.296890,0.112903,40.560848
2,0,0,0.044000,0.600000,1,0,59.648355,1.775598,11.752289,60,1.351648,0.130864,34.322653
2,0,0,0.044000,0.800000,1,0,59.580576,1.775105,11.222132,90,1.253767,0.098217,43.900734
2,0,0,0.044000,1,1,0,59.626761,1.775441,11.560829,70,1.318542,0.120094,37.501957
2,0,0,0.078000,0,1,0,68.023654,1.832660,11.879118,70,1.443433,0.159397,38.291879
2,0,0,0.078000,0.200000,1,0,68.141518,1.833412,12.191154,60,1.485092,0.171753,35.252195
2,0,0,0.078000,0.400000,1,0,68.246081,1.834078,12.582281,90,1.561156,0.193446,46.403638
2,0,0,0.078000,0.600000,1,0,68.364256,1.834829,12.316353,80,1.604542,0.205351,42.780567
2,0,0,0.078000,0.800000,1,0,68.265689,1.834202,12.492071,60,1.568121,0.195380,35.836626
2,0,0,0.078000,1,1,0,68.439143,1.835305,13.089731,60,1.645765,0.216368,36.686146
2,0,0,0.112000,0,1,0,77.754368,1.890725,12.891037,50,1.730526,0.238178,33.249175
2,0,0,0.112000,0.200000,1,0,78.026017,1.892239,13.277515,70,1.757357,0.244860,40.715836
2,0,0,0.112000,0.400000,1,0,78.613976,1.895500,13.556385,80,1.981688,0.297035,45.120808
2,0,0,0.112000,0.600000,1,0,78.085480,1.892570,13.209120,80,1.801164,0.255553,44.275759
2,0,0,0.112000,0.800000,1,0,78.441148,1.894544,12.974302,70,1.990843,0.299037,41.062747
2,0,0,0.112000,1,1,0,78.931361,1.897250,14.569063,80,2.036898,0.308969,46.276695
2,0,0,0.146000,0,1,0,89.537562,1.952005,13.881494,80,2.102579,0.322752,45.754522
2,0,0,0.146000,0.200000,1,0,89.534867,1.951992,14.813307,60,2.158016,0.334055,39.821962
2,0,0,0.146000,0.400000,1,0,89.647779,1.952540,14.293485,60,2.240009,0.350250,39.496483
2,0,0,0.146000,0.600000,1,0,88.965182,1.949220,13.975657,90,2.003618,0.301815,49.097437
2,0,0,0.146000,0.800000,1,0,89.346586,1.951078,14.039675,70,1.999383,0.300896,42.150427
2,0,0,0.146000,1,1,0,90.092299,1.954688,14.454224,80,2.043272,0.310326,46.178137
2,0,0,0.180000,0,1,0,102.681355,2.011492,15.213462,70,2.396012,0.379489,44.267329
2,0,0,0.180000,0.200000,1,0,102.740375,2.011741,14.905630,60,2.488270,0.395898,40.656400
2,0,0,0.180000,0.400000,1,0,103.019126,2.012918,15.105545,60,2.556065,0.407572,40.996407
2,0,0,0.180000,0.600000,1,0,101.510802,2.006512,14.094363,70,2.209623,0.344318,42.726180
2,0,0,0.180000,0.800000,1,0,102.287607,2.009823,15.290050,60,2.461162,0.391140,40.983732
2,0,0,0.180000,1,1,0,104.011046,2.017079,16.551543,70,2.989708,0.475629,46.759088
2,0,0.100000,0.010000,0,1,0,50.210861,1.700798,10.092625,10,1.013512,0.005829,13.662574
2,0,0.100000,0.010000,0.200000,1,0,50.211141,1.700800,10.117123,30,1.015983,0.006886,20.699759
2,0,0.100000,0.010000,0.400000,1,0,50.210907,1.700798,10.088127,40,1.013038,0.005626,24.155637
2,0,0.100000,0.010000,0.600000,1,0,50.211008,1.700799,10.092241,30,1.013476,0.005814,20.662003
2,0,0.100000,0.010000,0.800000,1,0,50.211042,1.700799,10.104651,20,1.014698,0.006337,17.180691
2,0,0.100000,0.010000,1,1,0,50.211025,1.700799,10.114323,20,1.015694,0.006763,17.195480
2,0,0.100000,0.044000,0,1,0,50.936345,1.707028,10.296097,20,1.048775,0.020683,17.544287
2,0,0.100000,0.044000,0.200000,1,0,50.937992,1.707042,10.377960,20,1.057059,0.024099,17.667149
2,0,0.100000,0.044000,0.400000,1,0,50.939228,1.707052,10.377969,40,1.057226,0.024168,24.667984
2,0,0.100000,0.044000,0.600000,1,0,50.943279,1.707087,10.532990,20,1.073091,0.030637,17.900629
2,0,0.100000,0.044000,0.800000,1,0,50.943793,1.707091,10.524902,20,1.072224,0.030286,17.888330
2,0,0.100000,0.044000,1,1,0,50.934856,1.707015,10.345957,10,1.053690,0.022713,14.118510
2,0,0.100000,0.078000,0,1,0,51.685704,1.713370,10.770472,30,1.112782,0.046410,21.827395
2,0,0.100000,0.078000,0.200000,1,0,51.707705,1.713555,10.981402,10,1.135609,0.055229,15.144150
2,0,0.100000,0.078000,0.400000,1,0,51.689559,1.713403,10.679652,20,1.103592,0.042809,18.193357
2,0,0.100000,0.078000,0.600000,1,0,51.684317,1.713359,10.680570,30,1.103905,0.042932,21.695749
2,0,0.100000,0.078000,0.800000,1,0,51.694956,1.713448,10.778263,20,1.114326,0.047012,18.342409
2,0,0.100000,0.078000,1,1,0,51.680999,1.713331,10.700136,10,1.105909,0.043720,14.724770
2,0,0.100000,0.112000,0,1,0,52.442882,1.719687,10.858406,20,1.138564,0.056357,18.534695
2,0,0.100000,0.112000,0.200000,1,0,52.469968,1.719911,11.290910,20,1.184629,0.073582,19.173897
2,0,0.100000,0.112000,0.400000,1,0,52.458839,1.719819,10.759382,40,1.128715,0.052584,25.390395
2,0,0.100000,0.112000,0.600000,1,0,52.464725,1.719867,11.177154,30,1.172476,0.069104,22.506400
2,0,0.100000,0.112000,0.800000,1,0,52.458778,1.719818,11.235965,20,1.178655,0.071387,19.092604
2,0,0.100000,0.112000,1,1,0,52.459973,1.719828,11.134197,10,1.168110,0.067484,15.444004
2,0,0.100000,0.146000,0,1,0,53.240374,1.726241,11.478160,20,1.221740,0.086979,19.521903
2,0,0.100000,0.146000,0.200000,1,0,53.223194,1.726101,11.390885,30,1.212434,0.083658,22.894783
