mode,forgetfulness,tiredness,recovery,intensity,groupSize,propensity,repeats,runaway,top5SharePct,top10Stability1Pct,top10Stability10Pct,top10Stability20Pct,totalPower,oligarchyScore
"habit",0.180000,0.088000,0,0.180000,4,0.400000,1,0,10.256033,70,20,0,50.628143,10.256033
"random",0.108000,0.132000,0,0.180000,4,0,1,0,10.307449,70,30,0,51.064883,10.307449
"random",0.180000,0.088000,0,0.180000,7,0,1,0,10.567256,60,30,0,52.294230,10.567256
"habit",0.072000,0.220000,0,0.180000,7,0.600000,1,0,11.143360,100,30,0,56.136333,11.143360
"random",0.072000,0.132000,0,0.180000,9,0,1,0,11.269629,90,40,0,60.876499,11.269629
"habit",0.144000,0.176000,0.160000,0.180000,2,0,1,0,11.376422,80,20,0,52.802788,11.376422
"random",0.180000,0.220000,0.120000,0.180000,2,0,1,0,11.394544,80,20,0,52.260047,11.394544
"random",0.108000,0.220000,0.160000,0.180000,2,0,1,0,11.451211,80,10,0,53.673448,11.451211
"random",0.180000,0.044000,0.040000,0.180000,2,0,1,0,11.495283,80,40,0,52.286703,11.495283
"habit",0.180000,0.132000,0.120000,0.180000,2,1,1,0,11.536087,100,40,0,52.133558,11.536087
"habit",0.108000,0.176000,0.120000,0.180000,2,0.800000,1,0,11.634080,80,10,0,53.770875,11.634080
"random",0.072000,0.044000,0.080000,0.180000,2,0,1,0,11.734226,80,20,0,55.767239,11.734226
"habit",0.144000,0.088000,0.160000,0.180000,2,0.800000,1,0,11.822286,80,20,0,52.874858,11.822286
"habit",0.144000,0.220000,0.200000,0.180000,2,0.400000,1,0,11.852864,90,20,0,52.929843,11.852864
"random",0.180000,0.132000,0,0.180000,2,0,1,0,10.067559,80,10,10,50.104708,13.567559
"habit",0.180000,0.132000,0,0.180000,2,0.400000,1,0,10.071056,90,20,10,50.111309,13.571056
"habit",0.180000,0.176000,0,0.180000,2,0.600000,1,0,10.080336,90,30,10,50.110656,13.580336
"habit",0.108000,0.132000,0,0.180000,2,0,1,0,10.090315,80,10,10,50.178630,13.590315
"random",0.108000,0.044000,0,0.180000,2,0,1,0,10.093746,80,30,10,50.175328,13.593746
"habit",0.108000,0.220000,0,0.180000,2,0.400000,1,0,10.095650,80,40,10,50.170320,13.595650
"random",0.180000,0.220000,0,0.180000,4,0,1,0,10.235884,60,30,10,50.644557,13.735884
"random",0.144000,0.088000,0,0.180000,4,0,1,0,10.313193,70,30,10,50.805183,13.813193
