mode,forgetfulness,tiredness,recovery,intensity,groupSize,propensity,repeats,runaway,top5SharePct,top10Stability1Pct,top10Stability10Pct,top10Stability20Pct,totalPower,oligarchyScore
"random",0.400000,0.100000,0,0.180000,2,0,1,0,10.059091,80,20,0,50.054621,10.059091
"habit",0.300000,0.400000,0,0.180000,2,0.200000,1,0,10.066644,80,30,0,50.069522,10.066644
"habit",0.300000,0.200000,0,0.180000,4,0,1,0,10.190118,60,40,0,50.418248,10.190118
"random",0.500000,0.300000,0,0.180000,4,0,1,0,10.212214,60,0,0,50.275106,10.212214
"random",0.500000,0.500000,0,0.180000,7,0,1,0,10.479383,40,0,0,50.969800,10.479383
"habit",0.500000,0.300000,0,0.180000,7,0.800000,1,0,10.586535,50,20,0,50.978462,10.586535
"habit",0.400000,0.200000,0,0.180000,9,0.600000,1,0,10.599192,40,30,0,52.021255,10.599192
"habit",0.200000,0.300000,0,0.180000,7,0.200000,1,0,10.623033,50,10,0,52.159609,10.623033
"random",0.300000,0.300000,0,0.180000,7,0,1,0,10.687185,70,20,0,51.495178,10.687185
"random",0.500000,0.100000,0.120000,0.180000,2,0,1,0,11.115250,80,20,0,50.920289,11.115250
"habit",0.500000,0.400000,0.160000,0.180000,2,0.200000,1,0,11.120175,80,0,0,50.917669,11.120175
"random",0.400000,0.500000,0.080000,0.180000,2,0,1,0,11.126752,80,10,0,51.083694,11.126752
"random",0.400000,0.400000,0.040000,0.180000,2,0,1,0,11.127794,80,10,0,51.075184,11.127794
"habit",0.400000,0.100000,0.200000,0.180000,2,0.800000,1,0,11.128607,80,10,0,51.097892,11.128607
"habit",0.400000,0.300000,0.040000,0.180000,2,0.400000,1,0,11.130135,80,10,0,51.081801,11.130135
"habit",0.300000,0,0,0.180000,2,0.600000,1,0,11.147799,80,20,0,51.396013,11.147799
"habit",0.500000,0,0,0.180000,2,1,1,0,11.153107,90,20,0,50.932309,11.153107
"habit",0.300000,0.400000,0.040000,0.180000,2,0.400000,1,0,11.160433,80,10,0,51.365737,11.160433
"random",0.300000,0.400000,0.040000,0.180000,2,0,1,0,11.162965,80,0,0,51.340647,11.162965
"habit",0.200000,0.100000,0.080000,0.180000,2,1,1,0,11.164282,80,20,0,52.022717,11.164282
"random",0.500000,0.100000,0.040000,0.180000,2,0,1,0,11.190691,80,30,0,50.921365,11.190691
"random",0.400000,0.400000,0.160000,0.180000,2,0,1,0,11.210484,80,40,0,51.102339,11.210484
"random",0.200000,0.400000,0,0.180000,12,0,1,0,11.223770,50,20,0,57.321542,11.223770
"habit",0.500000,0.200000,0.080000,0.180000,2,0.600000,1,0,11.228073,90,40,0,50.914337,11.228073
"habit",0.200000,0.200000,0.040000,0.180000,2,1,1,0,11.231014,80,40,0,52.006831,11.231014
"random",0.200000,0.400000,0.080000,0.180000,2,0,1,0,11.232897,80,30,0,51.991181,11.232897
"random",0.300000,0.300000,0,0.180000,12,0,1,0,11.263252,50,10,0,54.911927,11.263252
"habit",0.200000,0,0.160000,0.180000,2,0,1,0,11.325694,80,10,0,52.031147,11.325694
"habit",0.400000,0.300000,0,0.180000,9,0.800000,1,0,11.372788,80,30,0,52.092573,11.372788
"random",0.200000,0.500000,0,0.180000,12,0,1,0,11.390674,50,30,0,57.339540,11.390674
"random",0.200000,0,0.160000,0.180000,2,0,1,0,11.426674,90,20,0,52.061309,11.426674
"random",0,0.400000,0.040000,0.180000,9,0,1,0,11.445596,30,40,0,1.5200761556554926e+29,11.445596
"habit",0.200000,0.400000,0.200000,0.180000,2,1,1,0,11.589481,90,30,0,52.048837,11.589481
"random",0.200000,0.200000,0,0.180000,14,0,1,0,11.826271,60,10,0,60.629821,11.826271
"habit",0.400000,0.500000,0,0.180000,14,0.400000,1,0,11.894109,60,50,0,55.512021,11.894109
"random",0,0.300000,0.040000,0.180000,14,0,1,0,11.999391,20,20,0,2.1126102589554927e+50,11.999391
"random",0.300000,0.400000,0.040000,0.180000,12,0,1,0,12.296863,10,30,0,74.309455,12.296863
"random",0.100000,0.400000,0,0.180000,14,0,1,0,12.298390,70,40,0,75.224428,12.298390
"habit",0.300000,0.400000,0.040000,0.180000,14,0.200000,1,0,12.301754,0,10,0,83.242171,12.301754
"habit",0.400000,0.500000,0.040000,0.180000,12,0.400000,1,0,12.380050,10,20,0,67.414968,12.380050
"random",0.400000,0.400000,0.040000,0.180000,7,0,1,0,12.576682,50,20,0,58.809567,12.576682
"random",0.500000,0.500000,0.040000,0.180000,9,0,1,0,12.742780,10,0,0,59.501611,12.742780
"random",0.300000,0.400000,0.040000,0.180000,4,0,1,0,13.087522,70,10,0,57.722564,13.087522
"habit",0.100000,0.200000,0.040000,0.180000,14,0.600000,1,0,13.282947,30,30,0,1153852486974.232666,13.282947
"habit",0.100000,0.500000,0.080000,0.180000,12,0,1,0,13.294759,0,10,0,2.8399951887498457e+22,13.294759
"random",0.200000,0.500000,0.080000,0.180000,12,0,1,0,13.341980,10,0,0,196.565790,13.341980
"random",0.400000,0.300000,0.040000,0.180000,4,0,1,0,13.415476,60,10,0,56.266875,13.415476
"habit",0.300000,0.500000,0.200000,0.180000,4,0.400000,1,0,13.527539,60,30,0,58.953704,13.527539
"random",0.500000,0.100000,0,0.180000,2,0,1,0,10.055665,80,40,10,50.045768,13.555665
"habit",0.500000,0.500000,0,0.180000,2,0.800000,1,0,10.056912,90,10,10,50.045755,13.556912
"habit",0.400000,0.400000,0,0.180000,2,0.400000,1,0,10.057955,80,10,10,50.054615,13.557955
"habit",0.400000,0.300000,0,0.180000,2,0.200000,1,0,10.058875,80,10,10,50.054619,13.558875
"habit",0.500000,0.400000,0,0.180000,2,0.600000,1,0,10.059518,90,40,10,50.045778,13.559518
"habit",0.500000,0.300000,0,0.180000,2,0.400000,1,0,10.062508,90,20,10,50.045804,13.562508
"random",0.200000,0.400000,0,0.180000,2,0,1,0,10.067184,90,10,10,50.099410,13.567184
"habit",0.300000,0.300000,0,0.180000,2,0,1,0,10.069665,90,20,10,50.069530,13.569665
"random",0.400000,0.500000,0.160000,0.180000,4,0,1,0,13.573359,60,40,0,56.770641,13.573359
"random",0.300000,0.200000,0,0.180000,2,0,1,0,10.074827,90,10,10,50.069556,13.574827
"random",0.100000,0.500000,0,0.180000,2,0,1,0,10.075282,80,40,10,50.189745,13.575282
"random",0.200000,0.200000,0,0.180000,2,0,1,0,10.076304,90,20,10,50.099438,13.576304
"habit",0.200000,0.400000,0,0.180000,2,0,1,0,10.083773,90,20,10,50.099472,13.583773
"random",0.100000,0.400000,0.040000,0.180000,4,0,1,0,13.600318,60,20,0,75.859589,13.600318
"habit",0.300000,0.300000,0.040000,0.180000,7,0.600000,1,0,13.649311,40,40,0,65.389780,13.649311
"random",0.500000,0.200000,0,0.180000,4,0,1,0,10.210310,60,10,10,50.275067,13.710310
"random",0.500000,0.100000,0,0.180000,4,0,1,0,10.215246,60,10,10,50.275059,13.715246
"random",0.400000,0.200000,0,0.180000,4,0,1,0,10.246192,70,20,10,50.328819,13.746192
"habit",0.200000,0.500000,0,0.180000,4,0.400000,1,0,10.246702,70,10,10,50.601448,13.746702
"habit",0.500000,0.300000,0,0.180000,4,0.600000,1,0,10.248495,80,20,10,50.275563,13.748495
"random",0.400000,0.100000,0,0.180000,4,0,1,0,10.251186,70,20,10,50.329046,13.751186
"random",0.200000,0.400000,0.120000,0.180000,4,0,1,0,13.753853,60,40,0,63.772685,13.753853
