mode,forgetfulness,tiredness,recovery,intensity,groupSize,propensity,repeats,top5SharePct,top10Stability1Pct,top10Stability10Pct,top10Stability20Pct,totalPower,oligarchyScore
"habit",0.180000,0.088000,0,0.060000,4,0.400000,1,10.085633,70,20,0,50.208011,10.085633
"random",0.108000,0.132000,0,0.060000,4,0,1,10.102732,70,30,0,50.350662,10.102732
"random",0.180000,0.088000,0,0.060000,7,0,1,10.191175,60,30,0,50.747767,10.191175
"habit",0.180000,0.044000,0.160000,0.060000,2,0.800000,1,10.379392,80,10,0,50.723613,10.379392
"random",0.072000,0.132000,0,0.060000,9,0,1,10.432605,90,40,0,53.204552,10.432605
"habit",0.144000,0.220000,0,0.060000,9,0,1,10.446927,80,20,0,51.651991,10.446927
"habit",0.144000,0.176000,0.160000,0.060000,2,0,1,10.467127,80,20,0,50.908212,10.467127
"random",0.180000,0.220000,0.120000,0.060000,2,0,1,10.473264,80,20,0,50.743239,10.473264
"random",0.180000,0.044000,0.040000,0.060000,2,0,1,10.496851,80,40,0,50.745730,10.496851
"random",0.108000,0.220000,0.160000,0.060000,2,0,1,10.498774,80,10,0,51.180024,10.498774
"habit",0.108000,0.176000,0.120000,0.060000,2,0.800000,1,10.547150,80,10,0,51.206448,10.547150
"random",0.072000,0.044000,0.080000,0.060000,2,0,1,10.588555,90,20,0,51.818099,10.588555
"habit",0.144000,0.220000,0.200000,0.060000,2,0.400000,1,10.603785,90,20,0,50.937446,10.603785
"habit",0.144000,0.088000,0.160000,0.060000,2,0.800000,1,10.723938,90,30,0,50.942019,10.723938
"habit",0.180000,0.176000,0.080000,0.060000,4,0,1,11.216847,60,20,0,54.425517,11.216847
"random",0.144000,0.044000,0.040000,0.060000,4,0,1,11.884305,70,40,0,56.038419,11.884305
"habit",0.144000,0,0.160000,0.060000,4,0.600000,1,11.894421,90,50,0,56.156585,11.894421
"random",0.108000,0.220000,0.160000,0.060000,4,0,1,11.934837,70,20,0,57.786712,11.934837
"random",0.180000,0,0.200000,0.060000,4,0,1,11.935063,60,30,0,54.719195,11.935063
"habit",0.108000,0.088000,0.080000,0.060000,4,0.400000,1,11.942773,80,40,0,57.854585,11.942773
"random",0.180000,0,0.160000,0.060000,4,0,1,11.998849,70,30,0,54.655988,11.998849
"random",0.144000,0.088000,0.120000,0.060000,4,0,1,12.137362,80,10,0,55.784897,12.137362
"random",0.180000,0.176000,0.120000,0.060000,4,0,1,12.215868,90,20,0,54.766603,12.215868
"habit",0.180000,0.132000,0.200000,0.060000,4,0.400000,1,12.333855,80,40,0,54.871822,12.333855
"random",0.180000,0.132000,0,0.060000,2,0,1,10.022534,80,10,10,50.034870,13.522534
"habit",0.180000,0.132000,0,0.060000,2,0.400000,1,10.023692,90,20,10,50.037059,13.523692
"habit",0.180000,0.176000,0,0.060000,2,0.600000,1,10.026790,90,30,10,50.036841,13.526790
"habit",0.108000,0.132000,0,0.060000,2,0,1,10.030138,80,10,10,50.059417,13.530138
"random",0.108000,0.044000,0,0.060000,2,0,1,10.031267,80,30,10,50.058308,13.531267
"habit",0.108000,0.220000,0,0.060000,2,0.400000,1,10.031883,80,40,10,50.056630,13.531883
"random",0.180000,0.220000,0,0.060000,4,0,1,10.078798,60,30,10,50.213539,13.578798
"random",0.144000,0.088000,0,0.060000,4,0,1,10.104479,70,30,10,50.266034,13.604479
"habit",0.108000,0.220000,0,0.060000,4,0.600000,1,10.114809,90,0,10,50.349327,13.614809
"random",0.108000,0.132000,0,0.060000,7,0,1,10.186695,60,30,10,51.211830,13.686695
"random",0.180000,0.044000,0,0.060000,7,0,1,10.229661,80,10,10,50.767497,13.729661
"random",0.108000,0.220000,0,0.060000,7,0,1,10.279039,80,30,10,51.244884,13.779039
"habit",0.108000,0.220000,0,0.060000,7,0.800000,1,10.283707,100,40,10,51.252472,13.783707
"random",0.144000,0.132000,0,0.060000,7,0,1,10.290119,60,20,10,50.921754,13.790119
"random",0.072000,0.220000,0,0.060000,7,0,1,10.294538,80,20,10,51.884006,13.794538
"random",0.108000,0.176000,0,0.060000,7,0,1,10.308656,70,40,10,51.243275,13.808656
